[13:57:46] [INFO] received Windows console close event; shutting log-core down
[14:15:41] [INFO] received Windows console close event; shutting log-core down
[14:20:41] [INFO] received Windows console close event; shutting log-core down
[14:24:33] [INFO] received Windows console close event; shutting log-core down
[15:23:50] [INFO] received Windows console close event; shutting log-core down
[17:26:42] [INFO] received Windows console close event; shutting log-core down
[17:34:04] [INFO] received Windows console close event; shutting log-core down
[18:39:13] [INFO] received Windows console close event; shutting log-core down
[18:42:56] [INFO] received Windows console close event; shutting log-core down
[18:46:05] [INFO] received Windows console close event; shutting log-core down
[18:51:08] [INFO] received Windows console close event; shutting log-core down
[18:55:44] [INFO] received Windows console close event; shutting log-core down
[18:55:46] [INFO] received Windows console close event; shutting log-core down
[18:58:14] [INFO] received Windows console close event; shutting log-core down
[19:02:03] [INFO] received Windows console close event; shutting log-core down
[20:18:55] [INFO] received Windows console close event; shutting log-core down
[21:28:39] [INFO] received Windows console close event; shutting log-core down
[00:17:59] [INFO] received Windows console close event; shutting log-core down
[00:27:20] [INFO] received Windows console close event; shutting log-core down
[10:27:53] [INFO] received Windows console close event; shutting log-core down
[10:31:06] [INFO] received Windows console close event; shutting log-core down
[10:36:28] [INFO] received Windows console close event; shutting log-core down
[10:40:53] [INFO] received Windows console close event; shutting log-core down
[10:44:30] [INFO] received Windows console close event; shutting log-core down
[10:53:06] [INFO] received Windows console close event; shutting log-core down
[10:56:20] [INFO] received Windows console close event; shutting log-core down
[11:04:03] [INFO] received Windows console close event; shutting log-core down
[11:09:12] [INFO] received Windows console close event; shutting log-core down
[15:26:40] [INFO] received Windows console close event; shutting log-core down
[15:43:54] [INFO] received Windows console close event; shutting log-core down
[15:45:36] [INFO] received Windows console close event; shutting log-core down
[15:47:06] [INFO] received Windows console close event; shutting log-core down
[15:47:39] [INFO] received Windows console close event; shutting log-core down
[15:49:30] [INFO] received Windows console close event; shutting log-core down
[15:50:10] [INFO] received Windows console close event; shutting log-core down
[15:53:03] [INFO] received Windows console close event; shutting log-core down
[15:54:49] [INFO] received Windows console close event; shutting log-core down
[15:55:18] [INFO] received Windows console close event; shutting log-core down
[15:57:06] [INFO] received Windows console close event; shutting log-core down
[15:57:22] [INFO] received Windows console close event; shutting log-core down
[15:57:28] [INFO] received Windows console close event; shutting log-core down
[15:57:49] [INFO] received Windows console close event; shutting log-core down
[15:58:16] [INFO] received Windows console close event; shutting log-core down
[15:58:41] [INFO] received Windows console close event; shutting log-core down
[15:59:54] [INFO] received Windows console close event; shutting log-core down
[16:10:48] [INFO] received Windows console close event; shutting log-core down
[16:12:47] [INFO] received Windows console close event; shutting log-core down
[16:16:56] [INFO] received Windows console close event; shutting log-core down
[16:19:25] [INFO] received Windows console close event; shutting log-core down
[16:22:10] [INFO] received Windows console close event; shutting log-core down
[16:24:22] [INFO] received Windows console close event; shutting log-core down
[16:25:51] [INFO] received Windows console close event; shutting log-core down
[16:29:29] [INFO] received Windows console close event; shutting log-core down
[16:30:32] [INFO] received Windows console close event; shutting log-core down
[16:35:00] [INFO] received Windows console close event; shutting log-core down
[16:38:22] [INFO] received Windows console close event; shutting log-core down
[17:16:13] [INFO] received Windows console close event; shutting log-core down
[17:17:08] [INFO] received Windows console close event; shutting log-core down
[17:19:29] [INFO] received Windows console close event; shutting log-core down
[17:20:59] [INFO] received Windows console close event; shutting log-core down
[17:23:20] [INFO] received Windows console close event; shutting log-core down
[17:25:46] [INFO] received Windows console close event; shutting log-core down
[17:27:42] [INFO] received Windows console close event; shutting log-core down
[17:46:59] [INFO] received Windows console close event; shutting log-core down
[23:54:44] [INFO] received Windows console close event; shutting log-core down
